cell,generator,n_questions,mean,ci_lo,ci_hi,ci_width,sd
json_fixed_1024,claude,200,0.9588499999999999,0.9422,0.97395,0.031749999999999945,0.11408881975886088
json_fixed_1024,gpt,200,0.8902000000000001,0.8597499999999999,0.9194,0.05965000000000009,0.21587023833542912
json_fixed_128,claude,200,0.9591,0.94485,0.9722500000000001,0.02740000000000009,0.10116998979030715
json_fixed_128,gpt,200,0.9077500000000001,0.8785,0.9345,0.05600000000000005,0.20552038987231008
json_fixed_2048,claude,200,0.956,0.9384999999999999,0.97125,0.03275000000000006,0.11664919706487223
json_fixed_2048,gpt,200,0.877825,0.84472375,0.9092268749999999,0.06450312499999988,0.23495513176928828
json_fixed_256,claude,200,0.9542499999999999,0.9369999999999998,0.9690000000000001,0.03200000000000025,0.11569947859317979
json_fixed_256,gpt,200,0.9011499999999999,0.8702500000000001,0.9277500000000001,0.057499999999999996,0.20920567048436825
json_fixed_256_late,claude,200,0.9384999999999999,0.9162,0.95810125,0.04190125,0.15451252571560364
json_fixed_256_late,gpt,200,0.89715,0.866,0.9261525,0.06015250000000005,0.21875935586597084
json_fixed_256_rr,claude,50,0.975,0.945,1.0,0.05500000000000005,0.10412414097938036
json_fixed_256_rr,gpt,50,0.835,0.765,0.9,0.135,0.24541717918013545
json_fixed_512,claude,200,0.9640000000000001,0.9492499999999999,0.9769999999999999,0.02774999999999994,0.09875608244100957
json_fixed_512,gpt,200,0.9009999999999999,0.87274375,0.9277500000000001,0.055006250000000034,0.20465438447643175
json_recursive_256,claude,200,0.95685,0.94084875,0.9716,0.030751250000000008,0.1133437759993417
json_recursive_256,gpt,200,0.8967499999999999,0.866,0.925,0.05900000000000005,0.21314099304116246
json_recursive_512,claude,200,0.9602499999999999,0.9445,0.9742562499999999,0.02975624999999993,0.10870381824251857
json_recursive_512,gpt,200,0.9018999999999999,0.8719987499999999,0.9279,0.05590125000000001,0.20251779498708786
json_semantic_256,claude,200,0.9475999999999999,0.9291974999999999,0.9646000000000001,0.035402500000000225,0.12734726786690725
json_semantic_256,gpt,200,0.9132499999999999,0.8844937499999999,0.9392499999999999,0.05475625000000006,0.19851695749245274
json_semantic_512,claude,200,0.9501,0.93234875,0.9660999999999998,0.0337512499999999,0.12149814399806638
json_semantic_512,gpt,200,0.904,0.8748974999999999,0.9295,0.05460250000000011,0.1996806495608556
toon_fixed_1024,claude,100,0.9231999999999999,0.8945974999999999,0.9484999999999999,0.053902499999999964,0.13859234605070508
toon_fixed_1024,gpt,100,0.8257000000000001,0.7781,0.8689025,0.09080250000000001,0.23307888723942305
toon_fixed_128,claude,100,0.9266999999999999,0.9008974999999999,0.9504999999999998,0.04960249999999988,0.12758878865283968
toon_fixed_128,gpt,100,0.8429000000000001,0.8000975,0.8847,0.08460250000000002,0.21301726112067434
toon_fixed_2048,claude,100,0.9041999999999999,0.8729975,0.9329999999999999,0.06000249999999996,0.15402466023204192
toon_fixed_2048,gpt,100,0.8128,0.7615000000000001,0.8602000000000001,0.09870000000000001,0.2498811030401572
toon_fixed_256,claude,200,0.9290999999999999,0.9079499999999999,0.9480025,0.040052500000000046,0.14223693871026732
toon_fixed_256,gpt,200,0.8694,0.8372987500000001,0.8992525,0.06195374999999992,0.22500840855309825
toon_fixed_256_late,claude,200,0.9370999999999999,0.91749875,0.95475,0.03725124999999996,0.1361738100100872
toon_fixed_256_late,gpt,200,0.86685,0.831545,0.8981025,0.06655750000000005,0.24539083276279922
toon_fixed_256_rr,claude,50,0.9375,0.895,0.975,0.07999999999999996,0.14779415497541828
toon_fixed_256_rr,gpt,50,0.785,0.715,0.85,0.135,0.2525886387155275
toon_fixed_512,claude,200,0.9448499999999999,0.92729875,0.9614512499999999,0.03415249999999992,0.12391428995996147
toon_fixed_512,gpt,200,0.88185,0.8505975,0.91110375,0.060506249999999984,0.21989051067160012
