metric,term,p_raw,p_holm,partial_eta_sq,significant_after_holm
faithfulness,C(format),0.0017289032138462,0.0138312257107696,0.0932153405446907,True
ragas_faithfulness,C(format),0.1528070677352643,0.45842120320579294,0.0284875720113274,False
ragas_answer_relevance,C(format),0.0845680455402723,0.4228402277013615,0.0372900034657213,False
factscore,C(format),0.0377261164171512,0.22635669850290718,0.0491715100061277,False
selfcheck_consistency,C(format),0.9389504743796152,1.0,0.0009686466218347,False
recall_at_5,C(format),0.8307715948616344,1.0,0.0062650507777699,False
mrr,C(format),0.0120533545481036,0.08437348183672519,0.1390997949938622,False
ndcg_at_5,C(format),0.1016989560464812,0.4228402277013615,0.0745569213759981,False
faithfulness,C(format):C(chunking),0.8809631271179043,1.0,0.0089867929625402,False
ragas_faithfulness,C(format):C(chunking),0.9436010402335094,1.0,0.005792376187814,False
ragas_answer_relevance,C(format):C(chunking),0.9735395880718666,1.0,0.0038066222462212,False
factscore,C(format):C(chunking),0.9369611830874062,1.0,0.0061722631601569,False
selfcheck_consistency,C(format):C(chunking),0.8683428555558618,1.0,0.009562711795048,False
recall_at_5,C(format):C(chunking),0.9935157365854306,1.0,0.0039408583811811,False
mrr,C(format):C(chunking),0.8806017515266769,1.0,0.0195555055602575,False
ndcg_at_5,C(format):C(chunking),0.8854075367931752,1.0,0.0190733680735046,False
