run_id,commit,timestamp,cell_type,corpus,format,chunking,chunk_size,generator,reranked,late_chunking,n_docs,n_chunks,n_questions,recall_at_5,mrr,ndcg_at_5,faithfulness,ragas_faithfulness,ragas_answer_relevance,factscore,selfcheck_consistency,indexing_tokens,retrieval_tokens,prompt_tokens,output_tokens,ctx_tokens_per_query,contextualization_overhead_pct,token_saving_vs_baseline_pct,latency_s_mean,latency_s_p95,cost_usd
hotpotqa_json_fixed_256_gpt,4f24364,2026-07-28T19:56:58+00:00,core,hotpotqa,json,fixed,256,gpt,0,0,498,523,50,0.88,0.9733,0.8595,0.825,0.7986,0.8867,0.8568,0.9835,101452,927.9,970.0,25.5,927.9,35.37,,1.19,2.06,0.33435
hotpotqa_json_fixed_256_claude,4f24364,2026-07-28T19:56:58+00:00,core,hotpotqa,json,fixed,256,claude,0,0,498,523,50,0.88,0.9733,0.8595,0.94,0.8976,0.8666,0.9312,0.9725,101452,927.9,970.0,72.0,927.9,35.37,,1.87,3.04,0.33435
hotpotqa_toon_fixed_256_gpt,4f24364,2026-07-28T20:16:19+00:00,core,hotpotqa,toon,fixed,256,gpt,0,0,498,523,50,0.88,0.9767,0.8541,0.765,0.7607,0.8869,0.8347,0.9861,102444,871.9,913.9,25.5,871.9,35.37,-0.98,1.13,2.09,0.32845
hotpotqa_toon_fixed_256_claude,4f24364,2026-07-28T20:16:19+00:00,core,hotpotqa,toon,fixed,256,claude,0,0,498,523,50,0.88,0.9767,0.8541,0.8634,0.9082,0.8655,0.9169,0.9756,102444,871.9,913.9,74.3,871.9,35.37,-0.98,1.81,2.71,0.32845
hotpotqa_yaml_fixed_256_gpt,4f24364,2026-07-28T20:34:34+00:00,core,hotpotqa,yaml,fixed,256,gpt,0,0,498,523,50,0.87,0.9733,0.8491,0.785,0.7694,0.8874,0.8049,0.9866,100304,936.8,978.8,25.5,936.8,35.37,1.13,1.22,1.77,0.3346
hotpotqa_yaml_fixed_256_claude,4f24364,2026-07-28T20:34:34+00:00,core,hotpotqa,yaml,fixed,256,claude,0,0,498,523,50,0.87,0.9733,0.8491,0.9234,0.8895,0.8614,0.9098,0.9736,100304,936.8,978.8,70.4,936.8,35.37,1.13,1.61,2.39,0.3346
hotpotqa_json_fixed_512_gpt,4f24364,2026-07-28T20:52:22+00:00,core,hotpotqa,json,fixed,512,gpt,0,0,498,500,50,0.87,0.9733,0.8529,0.815,0.825,0.888,0.8391,0.9878,99213,929.2,971.2,25.2,929.2,32.96,,1.18,1.84,0.3333
hotpotqa_json_fixed_512_claude,4f24364,2026-07-28T20:52:22+00:00,core,hotpotqa,json,fixed,512,claude,0,0,498,500,50,0.87,0.9733,0.8529,0.945,0.9245,0.8674,0.9078,0.9735,99213,929.2,971.2,71.1,929.2,32.96,,1.68,2.31,0.3333
hotpotqa_toon_fixed_512_gpt,4f24364,2026-07-28T21:10:53+00:00,core,hotpotqa,toon,fixed,512,gpt,0,0,498,500,50,0.88,0.9733,0.8541,0.75,0.7951,0.8908,0.793,0.9835,100145,876.7,918.7,26.1,876.7,32.96,-0.94,1.51,3.98,0.33
hotpotqa_toon_fixed_512_claude,4f24364,2026-07-28T21:10:53+00:00,core,hotpotqa,toon,fixed,512,claude,0,0,498,500,50,0.88,0.9733,0.8541,0.8984,0.9265,0.8664,0.9181,0.9722,100145,876.7,918.7,75.4,876.7,32.96,-0.94,2.09,3.92,0.33
