,format,chunking,chunk_size,composite_score,quality,cost,latency
1,toon,semantic,256,0.6798,0.5433,0.9662,0.4667
2,toon,semantic,512,0.6472,0.5201,0.8781,0.5318
3,yaml,semantic,256,0.6351,0.5574,0.8277,0.4448
4,json,semantic,256,0.6327,0.5587,0.8208,0.4405
5,yaml,semantic,512,0.6319,0.5719,0.7554,0.5442
6,json,semantic,512,0.6065,0.5572,0.7347,0.4714
7,toon,recursive,256,0.5826,0.5938,0.6222,0.4528
8,json,recursive,256,0.5798,0.6494,0.5069,0.5183
9,toon,recursive,512,0.579,0.6512,0.5185,0.4797
10,toon,fixed,256,0.5775,0.5872,0.6055,0.4797
11,json,fixed,256,0.5586,0.6411,0.4861,0.4532
12,yaml,fixed,256,0.5554,0.6458,0.453,0.4927
13,yaml,recursive,256,0.5398,0.6105,0.4804,0.4425
14,toon,fixed,512,0.5366,0.6184,0.4755,0.4067
15,yaml,recursive,512,0.5359,0.6671,0.3795,0.4637
16,json,recursive,512,0.5312,0.6487,0.3992,0.4475
17,json,fixed,512,0.5299,0.6643,0.36,0.4782
18,yaml,fixed,512,0.509,0.6349,0.338,0.488
