format,chunking,chunk_size,ragas_faithfulness,ragas_answer_relevance,factscore,selfcheck_consistency,recall_at_5,mrr,ndcg_at_5,ctx_tokens_per_query
json,fixed,256,0.901,0.8823,0.916,0.9706,0.9517,0.8806,0.8731,1246.775
json,fixed,512,0.9021,0.8835,0.9167,0.9713,0.9542,0.8722,0.8668,1835.35
json,recursive,256,0.9041,0.8825,0.9216,0.973,0.9417,0.8718,0.8624,1165.675
json,recursive,512,0.9081,0.8808,0.9283,0.9692,0.9517,0.8773,0.8684,1620.4
json,semantic,256,0.8927,0.8829,0.9141,0.9699,0.9092,0.8588,0.8351,1069.825
json,semantic,512,0.8948,0.8832,0.9207,0.9684,0.9117,0.8536,0.8315,1426.525
toon,fixed,256,0.8847,0.8828,0.9003,0.9708,0.9533,0.8784,0.8708,1195.875
toon,fixed,512,0.8902,0.8841,0.9014,0.9706,0.9567,0.8805,0.8731,1775.725
toon,recursive,256,0.8871,0.8838,0.8922,0.971,0.9442,0.884,0.8732,1101.6
toon,recursive,512,0.9032,0.8826,0.9188,0.9718,0.9542,0.8882,0.8776,1533.375
toon,semantic,256,0.8806,0.8826,0.9051,0.9712,0.9233,0.8742,0.8526,972.25
toon,semantic,512,0.8931,0.8844,0.914,0.9682,0.9133,0.8701,0.8468,1308.125
yaml,fixed,256,0.9042,0.8807,0.909,0.9722,0.9508,0.8919,0.8798,1261.2
yaml,fixed,512,0.8944,0.8824,0.9088,0.9717,0.9542,0.8878,0.8765,1823.45
yaml,recursive,256,0.8957,0.8814,0.9123,0.9699,0.9442,0.8878,0.875,1144.6
yaml,recursive,512,0.9064,0.8814,0.919,0.9722,0.9517,0.8909,0.8777,1580.9
yaml,semantic,256,0.8965,0.8806,0.9039,0.9702,0.9208,0.8807,0.8553,1012.1
yaml,semantic,512,0.9042,0.8826,0.9194,0.9675,0.9133,0.8772,0.8518,1313.95
