metric,term,df,F,p,partial_eta_sq,effect_size
ragas_faithfulness,C(format),2.0,0.8495235858273165,0.4304558415526369,0.015488258243446741,small
ragas_faithfulness,C(chunking),2.0,0.3004084738802898,0.7411324269106758,0.005532342800419134,negligible
ragas_faithfulness,C(corpus),3.0,44.84457096207407,6.66811852388345e-19,0.5547010816980107,large
ragas_faithfulness,C(format):C(chunking),4.0,0.08439525706083148,0.9870763395725052,0.003116010391217055,negligible
ragas_faithfulness,C(format):C(corpus),6.0,0.7604733508405072,0.6025381617214324,0.040535936200481654,small
ragas_faithfulness,C(chunking):C(corpus),6.0,0.19350801020873545,0.9780492739156089,0.010636102179972897,small
ragas_faithfulness,C(format):C(chunking):C(corpus),12.0,0.06444827123659479,0.9999957853746042,0.0071100048572291736,negligible
ragas_answer_relevance,C(format),2.0,0.45278406333207005,0.637056878649393,0.008315168289750863,negligible
ragas_answer_relevance,C(chunking),2.0,0.06453275199368419,0.9375415306833181,0.0011936245207132485,negligible
ragas_answer_relevance,C(corpus),3.0,99.77844246547825,5.292252792904496e-31,0.7348621817550085,large
ragas_answer_relevance,C(format):C(chunking),4.0,0.022333681867350727,0.9990147688410336,0.0008264897521540553,negligible
ragas_answer_relevance,C(format):C(corpus),6.0,0.12601278740588495,0.9929218556510024,0.0069520411843381116,negligible
ragas_answer_relevance,C(chunking):C(corpus),6.0,0.17408262805343977,0.9832931999313318,0.009578619819012299,negligible
ragas_answer_relevance,C(format):C(chunking):C(corpus),12.0,0.1605822997096709,0.9994098202005052,0.017529704385141575,small
factscore,C(format),2.0,1.526620837791938,0.22191968275144663,0.027493494377257427,small
factscore,C(chunking),2.0,0.338489588317909,0.7135996990966567,0.0062292785626246044,negligible
factscore,C(corpus),3.0,34.32845021201242,1.1621249585105761e-15,0.4881161195579561,large
factscore,C(format):C(chunking),4.0,0.09166913900552896,0.9849024918870399,0.0033836652343264928,negligible
factscore,C(format):C(corpus),6.0,0.7636246661766304,0.6000828213770322,0.04069707637848579,small
factscore,C(chunking):C(corpus),6.0,0.3692214180966879,0.8970498467230918,0.02010000367968478,small
factscore,C(format):C(chunking):C(corpus),12.0,0.10409901586028618,0.999940078794465,0.011434301810528957,small
selfcheck_consistency,C(format),2.0,0.02216291558513083,0.978085324655402,0.00041025598363698496,negligible
selfcheck_consistency,C(chunking),2.0,1.4220854080711953,0.2456905279589567,0.025659182573164147,small
selfcheck_consistency,C(corpus),3.0,122.2694721347496,1.3792926922318101e-34,0.7725398365557837,large
selfcheck_consistency,C(format):C(chunking),4.0,0.11034806735996895,0.9786695416471959,0.004070330159014987,negligible
selfcheck_consistency,C(format):C(corpus),6.0,0.18979408402724687,0.979112864593621,0.010434097447750009,small
selfcheck_consistency,C(chunking):C(corpus),6.0,1.8078578942056367,0.10421102417948305,0.09126973264153349,medium
selfcheck_consistency,C(format):C(chunking):C(corpus),12.0,0.34309206134166104,0.9790229755622074,0.036721468555495886,small
recall_at_5,C(format),2.0,0.4278842457108549,0.6551587285733736,0.02321939078874159,small
recall_at_5,C(chunking),2.0,41.62049672304249,4.342946424834632e-10,0.6980904053245962,large
recall_at_5,C(corpus),3.0,320.0723109999404,5.302553361355981e-26,0.9638632924140365,large
recall_at_5,C(format):C(chunking),4.0,0.13426041096570754,0.9686980000805747,0.014698553021821832,small
recall_at_5,C(format):C(corpus),6.0,0.7144958214414321,0.640284882674567,0.10641094140826315,medium
recall_at_5,C(chunking):C(corpus),6.0,15.122872086203634,1.4716330108055355e-08,0.7159477188748925,large
recall_at_5,C(format):C(chunking):C(corpus),12.0,0.4283350445597292,0.9414237714151282,0.12493966867078375,medium
mrr,C(format),2.0,16.84065651382164,6.8762419968789125e-06,0.48336220378455785,large
mrr,C(chunking),2.0,14.112396136839532,2.983982452220813e-05,0.43946879817696655,large
mrr,C(corpus),3.0,3069.4371578435707,2.0695462337191937e-43,0.9961057132158431,large
mrr,C(format):C(chunking),4.0,1.0394446769545143,0.4004152110213686,0.10353607300018829,medium
mrr,C(format):C(corpus),6.0,17.429006068069956,2.447172485181925e-09,0.7439071899777663,large
mrr,C(chunking):C(corpus),6.0,8.587575162231124,8.04291965669386e-06,0.5886910652885836,large
mrr,C(format):C(chunking):C(corpus),12.0,1.3826731674721884,0.21891185012069847,0.315486260242782,large
ndcg_at_5,C(format),2.0,10.390802266922426,0.00027397259425376483,0.3659918507843137,large
ndcg_at_5,C(chunking),2.0,56.344009032115174,8.17480698930622e-12,0.7578823063977577,large
ndcg_at_5,C(corpus),3.0,1694.4576513026577,8.611259284450547e-39,0.9929678887777615,large
ndcg_at_5,C(format):C(chunking),4.0,1.2539253830535015,0.3059507166965315,0.1222873520345529,medium
ndcg_at_5,C(format):C(corpus),6.0,12.201904191261496,1.8986151845651252e-07,0.6703641587740845,large
ndcg_at_5,C(chunking):C(corpus),6.0,22.60710890512276,7.526792664684367e-11,0.7902619233597016,large
ndcg_at_5,C(format):C(chunking):C(corpus),12.0,1.1002582907718266,0.38936614148734683,0.26833877593714117,large
ctx_tokens_per_query,C(format),2.0,0.17469766599602732,0.8404184520482608,0.009612136014943354,negligible
ctx_tokens_per_query,C(chunking),2.0,3.172199512177543,0.05384154218773175,0.14982852916878098,large
ctx_tokens_per_query,C(corpus),3.0,43.76037923447675,4.274191649542811e-12,0.7847934292279638,large
ctx_tokens_per_query,C(format):C(chunking),4.0,0.01783933258745587,0.999345638177996,0.0019782269265976485,negligible
ctx_tokens_per_query,C(format):C(corpus),6.0,0.02593365337677567,0.9999139808242347,0.004303673898275187,negligible
ctx_tokens_per_query,C(chunking):C(corpus),6.0,0.7811414270404686,0.5902300401152751,0.11519320684355444,medium
ctx_tokens_per_query,C(format):C(chunking):C(corpus),12.0,0.007535309226687684,0.9999999999759248,0.002505476562010905,negligible
