metric,term,df,F,p,partial_eta_sq,effect_size
ragas_faithfulness,C(format),2.0,0.4605277782913929,0.6319380692411729,0.006776400851296789,negligible
ragas_faithfulness,C(chunking),2.0,0.16285180230901236,0.8498837802102387,0.002406812571022243,negligible
ragas_faithfulness,C(format):C(chunking),4.0,0.04575077241052744,0.9960092227293308,0.0013537433365107103,negligible
ragas_answer_relevance,C(format),2.0,0.14870193931575518,0.8619669200135693,0.0021981491891618,negligible
ragas_answer_relevance,C(chunking),2.0,0.021193646481793286,0.9790326173611688,0.0003138813954142468,negligible
ragas_answer_relevance,C(format):C(chunking),4.0,0.007334758607217526,0.9998919018031108,0.00021727896054789567,negligible
factscore,C(format),2.0,0.9409318047054486,0.3928081505862156,0.013748085829549702,small
factscore,C(chunking),2.0,0.20862784741673418,0.8119584593843842,0.003081259420688348,negligible
factscore,C(format):C(chunking),4.0,0.05650021686133287,0.9940018737867307,0.0016712826379215917,negligible
selfcheck_consistency,C(format),2.0,0.0060947727081082596,0.9939240362125948,9.028477693205713e-05,negligible
selfcheck_consistency,C(chunking),2.0,0.39107162143773955,0.6770953924292556,0.0057602805803149545,negligible
selfcheck_consistency,C(format):C(chunking),4.0,0.030345573746897683,0.998207049705293,0.0008983204058895533,negligible
recall_at_5,C(format),2.0,0.02458698529231221,0.9757221702427156,0.0007799304493277956,negligible
recall_at_5,C(chunking),2.0,2.3915873300912,0.0997441165697335,0.07056581052985353,medium
recall_at_5,C(format):C(chunking),4.0,0.007714840597294262,0.9998785185835876,0.00048959133194987,negligible
mrr,C(format),2.0,0.1126644385677409,0.8936300201871509,0.003563902017391779,negligible
mrr,C(chunking),2.0,0.09441230431231569,0.910036018618779,0.0029882595505481002,negligible
mrr,C(format):C(chunking),4.0,0.006953912447248125,0.9999011942554584,0.000441323398284161,negligible
ndcg_at_5,C(format),2.0,0.12255529448890864,0.8848673771417774,0.0038755658215345818,negligible
ndcg_at_5,C(chunking),2.0,0.664554713123247,0.5180716500429818,0.020661088550748892,small
ndcg_at_5,C(format):C(chunking),4.0,0.014789540849643883,0.9995580027542552,0.0009381375381714609,negligible
ctx_tokens_per_query,C(format),2.0,0.06390858000772838,0.9381514923639753,0.0020247359367973664,negligible
ctx_tokens_per_query,C(chunking),2.0,1.1604663701064692,0.31994653780514976,0.03553122472153744,small
ctx_tokens_per_query,C(format):C(chunking),4.0,0.006526054068609313,0.9999129260632632,0.00041418102227706296,negligible
