corpus,bpolicy,bpolicy,bpolicy,financebench,financebench,financebench,hotpotqa,hotpotqa,hotpotqa,msmarco,msmarco,msmarco
,top_format,winning_mean,p,top_format,winning_mean,p,top_format,winning_mean,p,top_format,winning_mean,p
metric,,,,,,,,,,,,
ragas_faithfulness,yaml,0.9452,0.7403720526330665,yaml,0.8763,0.018005605388809468,json,0.8599,0.7889015383581391,json,0.9461,0.20643375257189492
ragas_answer_relevance,toon,0.9038,0.9344134148143988,toon,0.8848,0.7892496797891259,toon,0.8778,0.782066685775118,toon,0.8671,0.8757722109470927
factscore,json,0.9456,0.9855892985841078,yaml,0.8972,0.03694896236468347,json,0.8835,0.7394662240595012,json,0.9574,0.06888265031714753
selfcheck_consistency,json,0.9837,0.9814402192780242,json,0.9593,0.8940087819598954,toon,0.9781,0.991934237369303,yaml,0.9632,0.6249969707709168
recall_at_5,json,0.98,0.405344429705885,json,0.9867,0.9537355392968339,toon,0.85,0.001593250058287381,yaml,0.955,0.5083185349847514
mrr,yaml,0.9706,0.251132688744179,yaml,0.9058,0.018237306500628304,toon,0.9711,0.004522363284453454,toon,0.7065,4.465423154061473e-05
ndcg_at_5,yaml,0.973,0.23364709798103944,yaml,0.9256,0.07017532669346771,toon,0.833,0.00022283222385536858,toon,0.7589,0.0003461292786181352
ctx_tokens_per_query,json,2227.35,0.9372271461878632,json,1838.55,0.9770312803041876,yaml,849.5333,6.487837156404002e-10,yaml,674.8167,1.7570755511673622e-12
