metric,corpus,F,df,p,partial_eta_sq,sig,top_format,mean_json,mean_toon,mean_yaml
ragas_faithfulness,bpolicy,0.3039741590592248,2.0,0.7403720526330665,0.022020771377620534,ns,yaml,0.9381,0.9398,0.9452
ragas_faithfulness,financebench,4.678700128609344,2.0,0.018005605388809468,0.2573726446615444,*,yaml,0.8577,0.8385,0.8763
ragas_faithfulness,hotpotqa,0.23920833485367918,2.0,0.7889015383581391,0.017410634515735126,ns,json,0.8599,0.8473,0.837
ragas_faithfulness,msmarco,1.6736741378885334,2.0,0.20643375257189492,0.11030117838825756,ns,json,0.9461,0.9336,0.9422
ragas_answer_relevance,bpolicy,0.06800703197827579,2.0,0.9344134148143988,0.005012308131768417,ns,toon,0.9036,0.9038,0.9029
ragas_answer_relevance,financebench,0.23875932285996912,2.0,0.7892496797891259,0.01737852139695734,ns,toon,0.8838,0.8848,0.8821
ragas_answer_relevance,hotpotqa,0.2480668799178422,2.0,0.782066685775118,0.01804376441317724,ns,toon,0.8772,0.8778,0.8743
ragas_answer_relevance,msmarco,0.13330309199382973,2.0,0.8757722109470927,0.009777754598011695,ns,toon,0.8655,0.8671,0.8668
factscore,bpolicy,0.014523350568679693,2.0,0.9855892985841078,0.0010746476358760046,ns,json,0.9456,0.9439,0.9436
factscore,financebench,3.7360325581383176,2.0,0.03694896236468347,0.21675710727143407,*,yaml,0.8918,0.8633,0.8972
factscore,hotpotqa,0.3052260078394059,2.0,0.7394662240595012,0.02210945388841015,ns,json,0.8835,0.8729,0.8632
factscore,msmarco,2.958858276374072,2.0,0.06888265031714753,0.17977299680752312,ns,json,0.9574,0.941,0.9442
selfcheck_consistency,bpolicy,0.01874717950941697,2.0,0.9814402192780242,0.0013867542058802883,ns,json,0.9837,0.9834,0.9833
selfcheck_consistency,financebench,0.11250589132704474,2.0,0.8940087819598954,0.008264892021000026,ns,json,0.9593,0.959,0.958
selfcheck_consistency,hotpotqa,0.008100896435239103,2.0,0.991934237369303,0.0005997065388649054,ns,toon,0.9778,0.9781,0.978
selfcheck_consistency,msmarco,0.4782860355497852,2.0,0.6249969707709168,0.0342163577375224,ns,yaml,0.9607,0.9618,0.9632
recall_at_5,bpolicy,1.0000000000000533,2.0,0.405344429705885,0.18181818181818973,ns,json,0.98,0.9767,0.98
recall_at_5,financebench,0.047619047619049004,2.0,0.9537355392968339,0.010471204188481978,ns,json,0.9867,0.9867,0.9833
recall_at_5,hotpotqa,14.333333333332778,2.0,0.001593250058287381,0.7610619469026477,**,toon,0.84,0.85,0.8383
recall_at_5,msmarco,0.7301679724983478,2.0,0.5083185349847514,0.1396069832437066,ns,yaml,0.94,0.95,0.955
mrr,bpolicy,1.6174066083797565,2.0,0.251132688744179,0.2643941643774664,ns,yaml,0.9683,0.9642,0.9706
mrr,financebench,6.45634482568726,2.0,0.018237306500628304,0.5892790824317883,*,yaml,0.8871,0.8751,0.9058
mrr,hotpotqa,10.436278903029024,2.0,0.004522363284453454,0.698720141126488,**,toon,0.97,0.9711,0.9667
mrr,msmarco,37.178272453302654,2.0,4.465423154061473e-05,0.8920300738222317,***,toon,0.6508,0.7065,0.7012
ndcg_at_5,bpolicy,1.7163066041362944,2.0,0.23364709798103944,0.27609748254603045,ns,yaml,0.9713,0.9674,0.973
ndcg_at_5,financebench,3.6211208052419064,2.0,0.07017532669346771,0.44588929189485726,ns,yaml,0.9125,0.9035,0.9256
ndcg_at_5,hotpotqa,24.6590223944866,2.0,0.00022283222385536858,0.8456738384737185,***,toon,0.829,0.833,0.8238
ndcg_at_5,msmarco,21.940560728629862,2.0,0.0003461292786181352,0.8298069376748355,***,toon,0.712,0.7589,0.755
ctx_tokens_per_query,bpolicy,0.06529884467108162,2.0,0.9372271461878632,0.014303301249884822,ns,json,2227.35,2086.4833,2111.7
ctx_tokens_per_query,financebench,0.023296707501872266,2.0,0.9770312803041876,0.005150382344636989,ns,json,1838.55,1766.45,1788.0833
ctx_tokens_per_query,hotpotqa,490.9137801703268,2.0,6.487837156404002e-10,0.9909166838305288,***,yaml,849.45,793.9,849.5333
ctx_tokens_per_query,msmarco,1838.313163481967,2.0,1.7570755511673622e-12,0.997558081259037,***,yaml,661.0167,611.1333,674.8167
