metric,model,raw_shapiro_p,raw_levene_p,raw_normality_ok,raw_homogeneity_ok,logit_shapiro_p,logit_levene_p,logit_normality_ok,logit_homogeneity_ok,normality_restored
ragas_faithfulness,two-way,9.314067610536125e-09,0.9972998546877582,False,True,0.016399231301812613,0.9758119765692537,False,True,False
ragas_faithfulness,three-way,0.01784565774351634,4.739944392849794e-24,False,False,0.009311519837022521,1.2989526199144658e-06,False,False,False
ragas_answer_relevance,two-way,6.452942464065027e-05,0.999701504193344,False,True,3.0297195043161043e-05,0.9996544097806062,False,True,False
ragas_answer_relevance,three-way,1.9935719244369738e-06,3.708571981029406e-10,False,False,6.494932002805852e-07,2.2585670016331132e-07,False,False,False
factscore,two-way,6.963066348006666e-07,0.9580503103131583,False,True,0.11418881319612023,0.9229718181390961,True,True,True
factscore,three-way,0.11303939595966078,1.658742825158539e-09,True,False,0.28668751819475774,0.0018522239605446307,True,False,False
selfcheck_consistency,two-way,0.00034214568178462986,0.5122643853827884,False,True,1.8083436665737992e-05,0.45432232493032276,False,True,False
selfcheck_consistency,three-way,0.000645751554877455,0.02791872232700263,False,False,0.31858876107742495,0.001174517769990026,True,False,True
recall_at_5,two-way,4.04525999651321e-06,0.44233122567970184,False,True,4.770930374710926e-10,0.9994917151452197,False,True,False
recall_at_5,three-way,3.0083088039922634e-06,0.0,False,False,9.676121386327835e-10,0.0,False,False,False
mrr,two-way,3.993655016789185e-09,0.9998323820479659,False,True,1.0104479494986933e-06,0.7915043434463346,False,True,False
mrr,three-way,0.02965921614760314,0.0,False,False,0.037609618749005376,0.0,False,False,False
ndcg_at_5,two-way,0.00020552592941834672,0.5428820747310903,False,True,4.6390154576414245e-05,0.9964505189883591,False,True,False
ndcg_at_5,three-way,0.009881525957379296,0.0,False,False,0.0003633902193801765,0.0,False,False,False
