format,chunk_size,recall_at_5,mrr,ndcg_at_5,ctx_tokens_per_query
json,128,0.8916,0.8194,0.7749,752.4
json,256,0.9234,0.8243,0.7982,809.4
json,512,0.9184,0.8193,0.792,811.1
json,1024,0.9134,0.8135,0.7834,814.05
json,2048,0.9134,0.8118,0.7814,817.55
toon,128,0.9016,0.8426,0.8,701.35
toon,256,0.9266,0.8477,0.8146,757.55
toon,512,0.9234,0.846,0.8118,762.05
toon,1024,0.9216,0.8418,0.8109,758.65
toon,2048,0.9216,0.853,0.8161,762.8
yaml,128,0.8916,0.8368,0.7874,761.15
yaml,256,0.9216,0.8393,0.8062,822.55
yaml,512,0.9184,0.8406,0.8038,819.4
yaml,1024,0.9216,0.8318,0.8012,820.95
yaml,2048,0.9166,0.843,0.8049,822.7
