corpus,format,recall_at_5_late,mrr_late,ndcg_at_5_late,ctx_tokens_per_query_late,recall_at_5_core,mrr_core,ndcg_at_5_core,ctx_tokens_per_query_core,recall_at_5_delta,mrr_delta,ndcg_at_5_delta,ctx_tokens_per_query_delta
bpolicy,json,0.98,0.95,0.9579,1870.2,0.98,0.97,0.9726,1867.9,0.0,-0.02,-0.0147,2.3
bpolicy,toon,0.98,0.95,0.9579,1826.7,0.98,0.97,0.9726,1819.0,0.0,-0.02,-0.0147,7.7
bpolicy,yaml,0.98,0.95,0.9579,1895.9,0.98,0.98,0.98,1895.4,0.0,-0.03,-0.0221,0.5
financebench,json,0.82,0.6917,0.7248,1502.3,0.98,0.904,0.9234,1500.4,-0.16,-0.2123,-0.1986,1.9
financebench,toon,0.82,0.6917,0.7248,1457.0,0.98,0.848,0.8812,1449.4,-0.16,-0.1563,-0.1564,7.6
financebench,yaml,0.82,0.6917,0.7248,1525.6,0.98,0.909,0.9268,1504.3,-0.16,-0.2173,-0.202,21.3
hotpotqa,json,0.89,0.9617,0.8466,917.7,0.88,0.9733,0.8595,927.9,0.01,-0.0116,-0.0129,-10.2
hotpotqa,toon,0.89,0.9617,0.8466,870.2,0.88,0.9767,0.8541,871.9,0.01,-0.015,-0.0075,-1.7
hotpotqa,yaml,0.89,0.9617,0.8466,934.1,0.87,0.9733,0.8491,936.8,0.02,-0.0116,-0.0025,-2.7
msmarco,json,0.9833,0.768,0.817,695.9,0.9667,0.6753,0.7369,690.9,0.0166,0.0927,0.0801,5.0
msmarco,toon,0.9833,0.768,0.817,650.3,0.9733,0.7187,0.7752,643.2,0.01,0.0493,0.0418,7.1
msmarco,yaml,0.9833,0.768,0.817,716.1,0.9733,0.7053,0.7634,708.3,0.01,0.0627,0.0536,7.8
